RSI;RSI_60;call_buy_count:1_mln;call_buy_count:300_k;call_buy_count:500_k;call_sell_count:1_mln;call_sell_count:300_k;call_sell_count:500_k;candle_pattern:15_min;candle_pattern:1_day;candle_pattern:60_min;change;close;elem_id;ma_rating;ma_rating:15_min;ma_rating:1_day;ma_rating:60_min;mom;mom:1_day;order_call_buy_otm_count_pct;order_call_sell_otm_count_pct;order_put_buy_otm_count_pct;order_put_sell_otm_count_pct;order_sweep_count_pct:long;order_sweep_count_pct:short;os_rating;os_rating:15_min;os_rating:1_day;os_rating:60_min;premium;premium_bs_diff;premium_bs_diff_percentage;premium_bs_diff_sentiment;price_earnings_ttm_1d;price_target:1_year;put_buy_count:1_mln;put_buy_count:300_k;put_buy_count:500_k;put_sell_count:1_mln;put_sell_count:300_k;put_sell_count:500_k;recommendation_mark;rsi:15_min;rsi:1_day;rsi:60_min;sector;symbol;tech_rating;tech_rating:15_min;tech_rating:1_day;tech_rating:60_min;volume_change:15_min;volume_change:1_day;volume_change:60_min
49.21;43.83000183105469;63;291;176;40;226;125;[];[];[];-1.409999966621399;115.12999725341797;pscrt1;-0.12999999523162842;-0.6700000166893005;-0.12999999523162842;-0.4000000059604645;7.13;7.130000114440918;47.0;53.0;53.0;48.0;34.0;29.0;0.18000000715255737;0.0;0.18000000715255737;0.0;681123798;38193000;5.61;54060802;54.054229736328125;149.49000549316406;10;51;23;13;47;29;1.1299999952316284;31.8799991607666;49.209999084472656;43.83000183105469;Electronic Technology;NVDA;0.019999999552965164;-0.33000001311302185;0.019999999552965164;-0.20000000298023224;47.15999984741211;-26.8799991607666;-57.869998931884766
64.42;66.33000183105469;9;29;19;5;15;9;[];[];[];0.800000011920929;434.7799987792969;pscrt1;0.800000011920929;0.27000001072883606;0.800000011920929;0.800000011920929;25.34;25.34000015258789;84.0;57.0;100.0;90.0;29.0;18.0;0.0;-0.09000000357627869;0.0;0.0;91799599;44404401;48.37;44581001;36.84231948852539;498.1700134277344;0;3;2;0;3;1;1.1299999952316284;51.43000030517578;64.41999816894531;66.33000183105469;Technology Services;MSFT;0.4000000059604645;0.09000000357627869;0.4000000059604645;0.4000000059604645;27.229999542236328;-4.619999885559082;-61.900001525878906
37.48;20.1299991607666;35;37;36;0;0;0;[];[];[];-2.309999942779541;50.5099983215332;pscrt1;-0.4000000059604645;-0.9300000071525574;-0.4000000059604645;-0.800000011920929;-3.56;-3.559999942779541;0.0;0.0;0.0;0.0;2.0;2.0;-0.18000000715255737;0.18000000715255737;-0.18000000715255737;0.0;83253200;83047600;99.75;83047600;8.711535453796387;51.04999923706055;0;0;0;0;0;0;1.8700000047683716;23.850000381469727;37.47999954223633;20.1299991607666;Consumer Non-Durables;MO;-0.28999999165534973;-0.3799999952316284;-0.28999999165534973;-0.4000000059604645;8.079999923706055;-42.93000030517578;-63.220001220703125
60.3;58.459999084472656;4;42;25;2;21;14;"[""LongShadow.Upper""]";"[""LongShadow.Upper""]";[];1.090000033378601;186.89999389648438;pscrt1;0.800000011920929;-0.12999999523162842;0.800000011920929;0.800000011920929;10.65;10.649999618530273;26.0;39.0;59.0;73.0;30.0;32.0;0.18000000715255737;0.0;0.18000000715255737;0.09000000357627869;64798699;15872699;24.5;13068699;44.778263092041016;219.88999938964844;0;3;0;0;4;1;1.1100000143051147;49.33000183105469;60.29999923706055;58.459999084472656;Retail Trade;AMZN;0.49000000953674316;-0.07000000029802322;0.49000000953674316;0.44999998807907104;16.540000915527344;-32.68000030517578;-44.0
61.03;65.0;4;19;8;4;9;7;[];[];[];0.07000000029802322;533.6699829101562;pscrt1;0.800000011920929;0.27000001072883606;0.800000011920929;0.800000011920929;21.91;21.90999984741211;81.0;86.0;94.0;78.0;49.0;12.0;0.09000000357627869;-0.18000000715255737;0.09000000357627869;0.0;45887400;8041000;17.52;9873200;27.246828079223633;572.510009765625;0;1;1;0;5;1;1.2200000286102295;52.400001525878906;61.029998779296875;65.0;Technology Services;META;0.44999998807907104;0.03999999910593033;0.44999998807907104;0.4000000059604645;-11.119999885559082;-12.220000267028809;-57.2400016784668
53.66;48.41999816894531;2;11;4;0;3;0;"[""Engulfing.Bearish""]";"[""Engulfing.Bearish""]";"[""Doji""]";-1.2899999618530273;150.1199951171875;pscrt1;0.4000000059604645;-0.6700000166893005;0.4000000059604645;0.0;13.18;13.180000305175781;70.0;49.0;83.0;67.0;40.0;20.0;0.0;0.0;0.0;0.18000000715255737;37857698;5752700;15.2;9318902;180.88685607910156;187.9600067138672;2;8;5;2;11;5;1.2300000190734863;38.58000183105469;53.65999984741211;48.41999816894531;Electronic Technology;AMD;0.20000000298023224;-0.33000001311302185;0.20000000298023224;0.09000000357627869;22.079999923706055;-11.630000114440918;-60.91999816894531
75.15;60.2599983215332;4;17;11;0;8;4;[];[];[];-0.029999999329447746;36.29999923706055;pscrt1;0.800000011920929;0.27000001072883606;0.800000011920929;0.800000011920929;5.79;5.789999961853027;11.0;54.0;10.0;52.0;35.0;29.0;0.0;0.0;0.0;-0.18000000715255737;33969499;9788899;28.82;9956899;213.65509033203125;27.360000610351562;0;0;0;0;1;0;2.0;49.869998931884766;75.1500015258789;60.2599983215332;Technology Services;PLTR;0.4000000059604645;0.12999999523162842;0.4000000059604645;0.3100000023841858;37.75;-27.489999771118164;-59.279998779296875
65.67;65.81999969482422;2;16;12;3;11;6;[];[];[];1.909999966621399;22.639999389648438;pscrt1;0.800000011920929;0.0;0.800000011920929;0.800000011920929;3.26;3.259999990463257;10.0;5.0;21.0;100.0;50.0;29.0;0.09000000357627869;0.0;0.09000000357627869;-0.18000000715255737;29472000;4516000;15.32;3440800;69.38994598388672;23.780000686645508;0;0;0;0;1;0;1.5800000429153442;49.529998779296875;65.66999816894531;65.81999969482422;Finance;HOOD;0.44999998807907104;0.0;0.44999998807907104;0.3100000023841858;82.12000274658203;-31.059999465942383;-54.630001068115234
47.66;64.76000213623047;3;6;5;0;7;3;[];[];[];0.3700000047683716;158.63999938964844;pscrt1;-0.12999999523162842;-0.12999999523162842;-0.12999999523162842;0.5299999713897705;1.28;1.2799999713897705;38.0;67.0;41.0;75.0;27.0;33.0;0.18000000715255737;0.0;0.18000000715255737;-0.18000000715255737;27890299;6868299;24.63;7350301;22.755504608154297;203.1199951171875;0;0;0;0;0;0;1.2899999618530273;47.25;47.65999984741211;64.76000213623047;Technology Services;GOOGL;0.019999999552965164;-0.07000000029802322;0.019999999552965164;0.18000000715255737;23.719999313354492;-29.290000915527344;-47.7599983215332
77.65;59.119998931884766;5;13;8;1;9;4;[];[];[];-1.5499999523162842;167.69000244140625;pscrt1;0.800000011920929;-0.12999999523162842;0.800000011920929;0.6700000166893005;28.19;28.190000534057617;23.0;75.0;18.0;79.0;22.0;27.0;-0.27000001072883606;0.18000000715255737;-0.27000001072883606;0.0;27778199;5472999;19.7;2875801;43.25697708129883;180.22999572753906;0;3;1;0;0;0;1.4700000286102295;45.58000183105469;77.6500015258789;59.119998931884766;Technology Services;ORCL;0.25999999046325684;0.019999999552965164;0.25999999046325684;0.33000001311302185;-4.239999771118164;-67.04000091552734;-54.91999816894531
